pix64,count,pix64_group
9036,33,90
40433,32,404
28293,32,282
48344,32,483
5283,32,52
20237,32,202
19325,32,193
31288,32,312
27304,32,273
20053,32,200
28167,32,281
26962,32,269
24734,32,247
40410,32,404
36261,32,362
27574,32,275
8506,32,85
46001,32,460
34901,32,349
39443,32,394
19045,32,190
28581,32,285
6220,32,62
26215,32,262
19220,32,192
26922,32,269
9024,32,90
20679,32,206
33570,32,335
19847,32,198
8404,32,84
19363,32,193
28521,32,285
46484,32,464
36621,32,366
13384,32,133
10271,32,102
48076,32,480
45526,31,455
33668,31,336
18155,31,181
45544,31,455
43677,31,436
17920,31,179
34683,31,346
34986,31,349
26361,31,263
10752,31,107
16787,31,167
19101,31,191
36194,31,361
28058,31,280
35147,31,351
28414,31,284
43706,31,437
17812,31,178
27713,31,277
9009,31,90
9401,31,94
17697,31,176
8458,31,84
16605,31,166
17450,31,174
27816,31,278
16492,31,164
4672,31,46
4406,31,44
36392,31,363
47050,31,470
26499,31,264
35210,31,352
4237,31,42
8912,31,89
26298,30,262
4976,30,49
31352,30,313
26596,30,265
33176,30,331
4213,30,42
22944,30,229
41310,30,413
17747,30,177
27727,30,277
5299,30,52
34312,30,343
27763,30,277
4943,30,49
31115,30,311
26470,30,264
35853,30,358
50,30,0
28059,30,280
34161,30,341
25597,30,255
27681,30,276
25670,30,256
34788,30,347
24853,30,248
33228,30,332
28226,30,282
34836,30,348
39086,30,390
39008,30,390
27804,30,278
28278,30,282
4121,30,41
4097,30,40
35895,30,358
28603,30,286
33649,30,336
28400,30,284
87,30,0
26946,30,269
9109,30,91
28377,30,283
48951,30,489
27486,30,274
28360,30,283
16661,30,166
5061,30,50
5067,30,50
27476,30,274
33321,30,333
8286,30,82
44301,29,443
24824,29,248
44673,29,446
20624,29,206
23384,29,233
47205,29,472
25647,29,256
21211,29,212
18071,29,180
16690,29,166
28538,29,285
39010,29,390
34184,29,341
33897,29,338
17829,29,178
36377,29,363
39046,29,390
17822,29,178
8271,29,82
34821,29,348
36595,29,365
17813,29,178
26336,29,263
27004,29,270
17469,29,174
46444,29,464
18671,29,186
33954,29,339
4124,29,41
27467,29,274
8198,29,81
8298,29,82
45055,29,450
44802,29,448
16836,29,168
17428,29,174
34343,29,343
31725,29,317
612,29,6
4850,29,48
24950,29,249
4276,29,42
20177,29,201
23366,29,233
27124,29,271
4104,29,41
34368,29,343
33235,29,332
27954,29,279
5281,29,52
43713,29,437
34461,29,344
19728,29,197
8914,29,89
27617,28,276
8282,28,82
27524,28,275
33718,28,337
44554,28,445
17487,28,174
17307,28,173
47078,28,470
28245,28,282
18241,28,182
19087,28,190
49017,28,490
17827,28,178
10364,28,103
31316,28,313
8922,28,89
34165,28,341
24577,28,245
25595,28,255
27852,28,278
19461,28,194
8644,28,86
18841,28,188
46651,28,466
43809,28,438
27022,28,270
44671,28,446
17207,28,172
26594,28,265
24896,28,248
8995,28,89
43905,28,439
27724,28,277
28142,28,281
35420,28,354
26957,28,269
17809,28,178
764,28,7
46337,27,463
19556,27,195
35362,27,353
26028,27,260
34000,27,340
8906,27,89
37395,27,373
26469,27,264
6146,27,61
6252,27,62
31116,27,311
18858,27,188
46807,27,468
5223,27,52
34350,27,343
8520,27,85
48964,27,489
34087,27,340
4649,27,46
22960,27,229
153,27,1
26277,27,262
16656,27,166
34034,27,340
37012,27,370
3,27,0
34010,27,340
48478,27,484
17606,27,176
8788,27,87
27060,27,270
35950,27,359
24631,27,246
28471,27,284
17387,27,173
20095,27,200
4402,27,44
27595,27,275
26166,27,261
28143,27,281
27942,26,279
20342,26,203
20720,26,207
45491,26,454
48434,26,484
5165,26,51
29937,26,299
43718,26,437
46568,26,465
28529,26,285
18845,26,188
19566,26,195
28291,26,282
27045,26,270
17457,26,174
5063,26,50
23216,26,232
35808,26,358
18324,26,183
33741,26,337
33305,26,333
5010,26,50
18032,26,180
9003,26,90
10427,26,104
18258,26,182
35512,26,355
31487,26,314
46341,26,463
46800,26,468
28344,26,283
17872,26,178
34540,26,345
45732,26,457
27694,26,276
4952,26,49
26055,26,260
8364,26,83
35061,26,350
43830,26,438
28542,26,285
27420,26,274
22830,26,228
26217,26,262
19950,26,199
25397,26,253
18985,26,189
43736,26,437
27931,26,279
20646,26,206
9060,26,90
45894,26,458
26393,26,263
27174,26,271
21387,26,213
17899,26,178
21967,25,219
21905,25,219
28540,25,285
26374,25,263
19038,25,190
8507,25,85
18490,25,184
13574,25,135
27756,25,277
20355,25,203
27541,25,275
34099,25,340
32989,25,329
17535,25,175
10404,25,104
13370,25,133
17286,25,172
35039,25,350
4109,25,41
28393,25,283
28367,25,283
44354,25,443
18020,25,180
22580,25,225
23176,25,231
13465,25,134
25310,25,253
8970,25,89
27761,25,277
25008,25,250
43957,25,439
687,25,6
9403,25,94
8201,25,82
35725,25,357
45877,25,458
45904,25,459
26856,25,268
27248,25,272
33409,25,334
5306,25,53
24831,25,248
8262,25,82
46652,25,466
17993,25,179
26292,25,262
18366,25,183
9005,25,90
26225,25,262
4835,25,48
4806,25,48
24719,25,247
6243,25,62
6292,25,62
9267,25,92
8204,25,82
31406,25,314
9232,25,92
46911,25,469
10432,24,104
28035,24,280
28447,24,284
46172,24,461
26531,24,265
17806,24,178
25366,24,253
44502,24,445
26091,24,260
18773,24,187
19449,24,194
8895,24,88
30771,24,307
28429,24,284
24839,24,248
46924,24,469
43881,24,438
36497,24,364
46388,24,463
45076,24,450
18021,24,180
44226,24,442
12593,24,125
26770,24,267
34052,24,340
27710,24,277
5633,24,56
28428,24,284
27136,24,271
5059,24,50
36052,24,360
43966,24,439
36049,24,360
19864,24,198
47225,24,472
17252,24,172
4407,24,44
9762,24,97
33299,24,332
4350,24,43
36331,24,363
8619,24,86
18027,24,180
18387,24,183
17519,24,175
17985,24,179
19009,24,190
17564,24,175
33234,24,332
33945,24,339
18747,24,187
18200,24,182
28589,24,285
609,24,6
28015,24,280
27192,24,271
18473,23,184
22,23,0
4758,23,47
8440,23,84
27056,23,270
48500,23,485
4520,23,45
18809,23,188
12504,23,125
24855,23,248
4867,23,48
4279,23,42
23054,23,230
8695,23,86
25086,23,250
33861,23,338
32798,23,327
41014,23,410
19710,23,197
17672,23,176
27523,23,275
25065,23,250
33298,23,332
8950,23,89
932,23,9
35243,23,352
26196,23,261
33984,23,339
22916,23,229
22644,23,226
35180,23,351
27801,23,278
37003,23,370
2572,23,25
45387,23,453
18273,23,182
26254,23,262
33211,23,332
26242,23,262
48272,23,482
8915,23,89
22396,23,223
4748,23,47
8713,23,87
47434,23,474
29728,23,297
27417,23,274
8291,23,82
38850,23,388
48491,23,484
39658,23,396
43778,23,437
9037,23,90
33094,23,330
20707,23,207
26002,23,260
27223,23,272
26493,23,264
23052,23,230
20344,23,203
20238,23,202
19678,23,196
17303,22,173
20302,22,203
44894,22,448
27204,22,272
31379,22,313
35720,22,357
35548,22,355
25973,22,259
4324,22,43
8373,22,83
24581,22,245
17494,22,174
28306,22,283
26707,22,267
21877,22,218
33543,22,335
22970,22,229
26886,22,268
25953,22,259
19275,22,192
226,22,2
700,22,7
33894,22,338
36423,22,364
36031,22,360
27396,22,273
26324,22,263
34157,22,341
45823,22,458
36918,22,369
35569,22,355
21977,22,219
26956,22,269
18406,22,184
25097,22,250
2051,22,20
10464,22,104
10245,22,102
45432,22,454
17263,22,172
4378,22,43
26175,22,261
44812,22,448
28357,22,283
45543,22,455
46763,22,467
47080,22,470
36036,22,360
26344,22,263
16886,22,168
28370,22,283
13418,22,134
6258,22,62
46197,22,461
21916,22,219
20419,22,204
27232,22,272
8266,22,82
34174,22,341
27721,22,277
34839,21,348
34669,21,346
36618,21,366
25812,21,258
12396,21,123
46496,21,464
34025,21,340
27739,21,277
23214,21,232
39069,21,390
17862,21,178
45424,21,454
43389,21,433
28,21,0
22805,21,228
35227,21,352
39608,21,396
12554,21,125
20071,21,200
24920,21,249
24859,21,248
31536,21,315
33891,21,338
31518,21,315
28622,21,286
40279,21,402
35966,21,359
40988,21,409
8422,21,84
5233,21,52
8643,21,86
31461,21,314
18437,21,184
26753,21,267
35364,21,353
34170,21,341
20111,21,201
25084,21,250
10355,21,103
45233,21,452
33863,21,338
36125,21,361
34334,21,343
2111,21,21
36792,21,367
4613,21,46
33776,21,337
46180,21,461
38683,21,386
36188,21,361
27414,21,274
12567,21,125
27947,21,279
10281,21,102
36673,21,366
18475,21,184
23192,21,231
43704,21,437
46235,21,462
10501,21,105
6261,21,62
22792,21,227
43990,21,439
45607,21,456
46131,21,461
10252,21,102
2052,21,20
4574,21,45
19857,21,198
33123,21,331
34272,21,342
25330,21,253
27615,21,276
9366,21,93
27725,20,277
46811,20,468
26293,20,262
19895,20,198
19609,20,196
26811,20,268
48614,20,486
25406,20,254
17771,20,177
35108,20,351
26080,20,260
43938,20,439
39087,20,390
39472,20,394
47431,20,474
20358,20,203
20378,20,203
9242,20,92
26495,20,264
36010,20,360
41304,20,413
2187,20,21
27298,20,272
4780,20,47
6147,20,61
33923,20,339
33920,20,339
26906,20,269
18518,20,185
25979,20,259
19218,20,192
25131,20,251
27545,20,275
19,20,0
24885,20,248
33646,20,336
46348,20,463
19745,20,197
19542,20,195
4929,20,49
5634,20,56
26452,20,264
26555,20,265
31019,20,310
10348,20,103
47336,20,473
26234,20,262
48330,20,483
19026,20,190
8203,20,82
8997,20,89
30878,20,308
46016,20,460
28034,20,280
19204,20,192
44993,20,449
5048,20,50
4859,20,48
48595,20,485
19046,20,190
46712,20,467
25956,20,259
4765,20,47
17742,20,177
16707,20,167
35434,20,354
17975,20,179
5027,20,50
36106,20,361
25921,20,259
35623,20,356
26561,20,265
32459,20,324
20000,20,200
44026,20,440
35629,20,356
18335,20,183
34049,20,340
36100,20,361
18054,20,180
33605,20,336
18714,20,187
28618,20,286
28461,20,284
8401,20,84
26322,20,263
26758,20,267
8681,19,86
18122,19,181
8223,19,82
27427,19,274
26339,19,263
28126,19,281
46296,19,462
18826,19,188
26014,19,260
20202,19,202
25174,19,251
34054,19,340
18520,19,185
4596,19,45
19760,19,197
18113,19,181
520,19,5
17636,19,176
18077,19,180
26365,19,263
48319,19,483
12446,19,124
30970,19,309
9373,19,93
19623,19,196
35727,19,357
18189,19,181
18013,19,180
34531,19,345
27079,19,270
34492,19,344
46855,19,468
27716,19,277
27095,19,270
22354,19,223
4182,19,41
18280,19,182
22361,19,223
6215,19,62
26995,19,269
2241,19,22
20073,19,200
17506,19,175
36466,19,364
32160,19,321
21887,19,218
25969,19,259
18416,19,184
48498,19,484
44093,19,440
38681,19,386
30859,19,308
27943,19,279
17341,19,173
45562,19,455
27372,19,273
19094,19,190
25690,19,256
28518,19,285
31697,19,316
8323,19,83
4549,19,45
19567,19,195
20130,19,201
31679,19,316
36271,19,362
27463,19,274
27305,19,273
27669,19,276
26267,19,262
31982,19,319
23209,19,232
27951,19,279
26186,19,261
5062,19,50
19593,19,195
28054,18,280
18739,18,187
27683,18,276
33879,18,338
10354,18,103
24850,18,248
27906,18,279
47873,18,478
5182,18,51
27643,18,276
4394,18,43
8897,18,88
22364,18,223
589,18,5
30879,18,308
28494,18,284
23300,18,233
22672,18,226
13476,18,134
5069,18,50
26505,18,265
33252,18,332
28147,18,281
18099,18,180
18014,18,180
36660,18,366
31453,18,314
8556,18,85
27955,18,279
27867,18,278
33619,18,336
44356,18,443
23183,18,231
16894,18,168
5229,18,52
16647,18,166
27412,18,274
27607,18,276
26932,18,269
17612,18,176
43441,18,434
27660,18,276
30818,18,308
48748,18,487
39102,18,391
48742,18,487
22393,18,223
27392,18,273
26362,18,263
48581,18,485
9070,18,90
27339,18,273
47107,18,471
47368,18,473
25319,18,253
28023,18,280
30824,18,308
17702,18,177
27664,18,276
17719,18,177
20208,18,202
10318,18,103
26440,18,264
26912,18,269
20014,18,200
27026,18,270
27238,18,272
31258,18,312
44316,18,443
27224,18,272
16425,18,164
19851,18,198
16440,17,164
20372,17,203
20371,17,203
19897,17,198
19708,17,197
25855,17,258
22949,17,229
41062,17,410
9376,17,93
27356,17,273
8659,17,86
34138,17,341
38842,17,388
27335,17,273
18055,17,180
36156,17,361
18034,17,180
25134,17,251
4107,17,41
28304,17,283
28038,17,280
18028,17,180
4927,17,49
26691,17,266
19628,17,196
21969,17,219
26617,17,266
26937,17,269
28037,17,280
44264,17,442
4278,17,42
13455,17,134
47027,17,470
36861,17,368
9472,17,94
19410,17,194
36259,17,362
34023,17,340
22721,17,227
26977,17,269
26100,17,261
43828,17,438
45531,17,455
45754,17,457
9328,17,93
33709,17,337
17677,17,176
2071,17,20
17511,17,175
27370,17,273
26650,17,266
31346,17,313
48776,17,487
48688,17,486
47064,17,470
16898,17,168
33456,17,334
25964,17,259
20213,17,202
27860,17,278
24716,17,247
4196,17,41
45927,17,459
33317,17,333
18617,17,186
38354,17,383
18227,17,182
2249,17,22
35181,17,351
45421,17,454
10311,17,103
23161,17,231
17075,17,170
43947,17,439
8304,17,83
27537,17,275
40423,17,404
8642,17,86
16507,17,165
17279,17,172
8504,17,85
27241,17,272
18086,17,180
39563,17,395
25907,17,259
25771,17,257
27734,17,277
27857,17,278
25542,17,255
17502,17,175
30040,17,300
46258,17,462
35559,17,355
18753,17,187
26831,17,268
48429,17,484
33316,17,333
17343,17,173
44817,17,448
27887,17,278
18772,16,187
10344,16,103
18008,16,180
9149,16,91
21970,16,219
31621,16,316
28202,16,282
36263,16,362
36804,16,368
26065,16,260
45031,16,450
43819,16,438
36713,16,367
26547,16,265
28310,16,283
4229,16,42
4691,16,46
8773,16,87
18537,16,185
4599,16,45
12577,16,125
35495,16,354
